Model,Image,Size,Refresh Rate,Resolution,Display Type,Surface,Ratio,PPI,Nits,CPU,GPU,Weight,Height,Price (RRP)
Acer Nitro 5 AN517-52-5204,,"17.30""",144 Hz,1920x1080,IPS,,16:9,127 PPI,,i5-10300H,GeForce RTX 3050 4GB Laptop GPU,2.2 kg,,1100 Euro
Acer Nitro 5 AN517-52-746S,,"17.30""",120 Hz,1920x1080,,matte,16:9,127 PPI,,i7-10750H,GeForce GTX 1660 Ti Mobile,2.2 kg,25 mm,
Acer Nitro 5 AN517-52-77DS,,"17.30""",120 Hz,1920x1080,IPS,matte,16:9,127 PPI,246 cd/m²,i7-10750H,GeForce RTX 2060 Mobile,2.2 kg,24.9 mm,1499 Euro
Acer Nitro 5 AN517-52-7995,,"17.30""",120 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i7-10750H,GeForce GTX 1650 Mobile,2.2 kg,24.9 mm,1000 Euro
Acer Nitro 5 AN517-52-79W0,,"17.30""",120 Hz,1920x1080,,matte,16:9,127 PPI,,i7-10750H,GeForce GTX 1660 Ti Mobile,2.2 kg,24.9 mm,
Acer Nitro 5 AN517-53-54DQ,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,261 cd/m²,i5-11300H,GeForce RTX 3050 4GB Laptop GPU,2.6 kg,25 mm,999 EUR
Acer Nitro 5 AN517-54-706P,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i7-11800H,GeForce RTX 3050 4GB Laptop GPU,2.7 kg,24.9 mm,1200 Euro
Acer Nitro 5 AN517-54-77KG,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i7-11800H,GeForce RTX 3050 Ti Laptop GPU,2.7 kg,24.9 mm,
Acer Nitro 5 AN517-55,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i5-12500H,NVIDIA GeForce RTX 4050 Laptop GPU,3 kg,27.9 mm,
Acer Nitro 5 AN517-55-5552,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,257 cd/m²,i5-12500H,NVIDIA GeForce RTX 4050 Laptop GPU,3 kg,28.9 mm,1400 Euro
Acer Nitro 5 AN517-55-5552,,"17.30""",144 Hz,1920x1080,,matte,16:9,127 PPI,,i5-12500H,NVIDIA GeForce RTX 4050 Laptop GPU,,,
Acer Nitro 5 AN517-55-738R,,"17.30""",144 Hz,1920x1080,IPS,,16:9,127 PPI,278 cd/m²,i7-12700H,GeForce RTX 3060 Laptop GPU,3.1 kg,28.6 mm,1699 EUR
Acer Nitro 5 AN517-55-75RS,,"17.30""",144 Hz,1920x1080,,matte,16:9,127 PPI,,i7-12700H,GeForce RTX 3060 Laptop GPU,3 kg,28.6 mm,1000 Euro
Acer Nitro 5 AN517-55-78NJ,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i7-12700H,GeForce RTX 3070 Ti Laptop GPU,3 kg,27.9 mm,1950 Euro
Acer Nitro 5 AN517-55-96S6,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i9-12900H,NVIDIA GeForce RTX 4060 Laptop GPU,3 kg,27.9 mm,
"Acer Nitro 7 AN715, i5-10300H",,"15.60""",144 Hz,1920x1080,,,16:9,141 PPI,,i5-10300H,GeForce GTX 1660 Ti Mobile,2.5 kg,19.9 mm,
Acer Nitro 7 AN715-51-76LS,,"15.60""",144 Hz,1920x1080,IPS,,16:9,141 PPI,,i7-9750H,GeForce GTX 1660 Ti Mobile,2.5 kg,23.14 mm,1300 Euro
Acer Nitro 7 AN715-52-78D5,,"15.60""",144 Hz,1920x1080,,,16:9,141 PPI,,i7-10750H,GeForce RTX 2060 Mobile,2.5 kg,19.9 mm,
Acer Nitro V 15 ANV15-51,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-13420H,NVIDIA GeForce RTX 4050 Laptop GPU,2.1 kg,27 mm,1000 Euro
"Acer Nitro V 15 ANV15-51, i7-13620H",,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-13620H,NVIDIA GeForce RTX 4050 Laptop GPU,2.1 kg,27 mm,
"Acer Nitro V 15 ANV15-51, i9-13900H",,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i9-13900H,NVIDIA GeForce RTX 4060 Laptop GPU,2.1 kg,27 mm,
"Acer Nitro V 15 ANV15-51, RTX 3050",,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-13420H,GeForce RTX 3050 6GB Laptop GPU,2.1 kg,27 mm,
Acer Nitro V 15 ANV15-51-582S,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,263 cd/m²,i5-13420H,NVIDIA GeForce RTX 4050 Laptop GPU,2.1 kg,23.5 mm,900 EUR
Acer Nitro V16 ANV16-41,,"16.00""",165 Hz,1920x1200,IPS,glossy,16:10,142 PPI,,R7 8845HS,NVIDIA GeForce RTX 4050 Laptop GPU,2.5 kg,25.46 mm,
Acer Predator Helios 16 2023 PH16-71-9705,,"16.00""",240 Hz,2560x1600,IPS,matte,16:10,189 PPI,,i9-13900HX,NVIDIA GeForce RTX 4080 Laptop GPU,2.7 kg,26.9 mm,2950 Euro
Acer Predator Helios 16 PH16-71,,"16.00""",240 Hz,2560x1600,IPS,glossy,16:10,189 PPI,,i9-13900HX,NVIDIA GeForce RTX 4070 Laptop GPU,2.7 kg,26.9 mm,
Acer Predator Helios 16 PH16-71-731Q,,"16.00""",240 Hz,2560x1600,IPS-LED,matte,16:10,189 PPI,498 cd/m²,i7-13700HX,NVIDIA GeForce RTX 4060 Laptop GPU,2.6 kg,26.9 mm,2099 Euro
Acer Predator Helios 16 PH16-71-74AS,,"16.00""",165 Hz,2560x1600,IPS,matte,16:10,189 PPI,,i7-13700HX,NVIDIA GeForce RTX 4070 Laptop GPU,2.6 kg,28.25 mm,
Acer Predator Helios 16 PH16-71-74UU,,"16.00""",165 Hz,2560x1600,IPS,matte,16:10,189 PPI,,i7-13700HX,NVIDIA GeForce RTX 4060 Laptop GPU,2.7 kg,26.9 mm,1550 Euro
Acer Predator Helios 16 PH16-71-76FS,,"16.00""",240 Hz,2560x1600,IPS,matte,16:10,189 PPI,,i7-13700HX,NVIDIA GeForce RTX 4070 Laptop GPU,2.7 kg,26.9 mm,2400 Euro
Acer Predator Helios 16 PH16-71-96HK,,"16.00""",240 Hz,2560x1600,IPS,matte,16:10,189 PPI,,i9-13900HK,NVIDIA GeForce RTX 4070 Laptop GPU,2.7 kg,26.9 mm,
Acer Predator Helios 16 PH16-71-97H2,,"16.00""",240 Hz,2560x1600,IPS,matte,16:10,189 PPI,,i9-13900HX,NVIDIA GeForce RTX 4070 Laptop GPU,2.7 kg,26.9 mm,2600 Euro
Acer Predator Helios 16 PH16-72,,"16.00""",240 Hz,2560x1600,IPS,matte,16:10,189 PPI,,i9-14900HX,NVIDIA GeForce RTX 4080 Laptop GPU,2.7 kg,29.6 mm,
Acer Predator Helios 18 2023 PH18-71-91U5,,"18.00""",240 Hz,2560x1600,IPS,matte,16:10,168 PPI,,i9-13900HX,NVIDIA GeForce RTX 4080 Laptop GPU,3.3 kg,29.5 mm,3200 Euro
Acer Predator Helios 18 N23Q2,,"18.00""",250 Hz,2560x1600,IPS,matte,16:10,168 PPI,355 cd/m²,i9-13900HX,NVIDIA GeForce RTX 4080 Laptop GPU,3.2 kg,29.15 mm,3699 Euro
Acer Predator Helios 18 PH18-71,,"18.00""",165 Hz,2560x1600,IPS,matte,16:10,168 PPI,,i9-13900HX,NVIDIA GeForce RTX 4060 Laptop GPU,3.3 kg,29.9 mm,
Acer Predator Helios 18 PH18-71-74ET,,"18.00""",165 Hz,2560x1600,IPS,matte,16:10,168 PPI,,i7-13700HX,NVIDIA GeForce RTX 4060 Laptop GPU,3.3 kg,29.5 mm,2200 Euro
Acer Predator Helios 18 PH18-72,,"18.00""",250 Hz,2560x1600,IPS,matte,16:10,168 PPI,,i9-14900HX,NVIDIA GeForce RTX 4080 Laptop GPU,3.3 kg,28.9 mm,2900 Euro
Acer Predator Helios 18 PH18-72-98MW,,"18.00""",250 Hz,2560x1600,Mini-LED,matte,16:10,168 PPI,724 cd/m²,i9-14900HX,NVIDIA GeForce RTX 4090 Laptop GPU,3.3 kg,29.5 mm,
"Acer Predator Helios 300 (i7-12700H, RTX 3070 Ti)", ,"17.30""",165 Hz,2560x1440,IPS,matte,16:9,170 PPI,340 cd/m²,i7-12700H,GeForce RTX 3070 Ti Laptop GPU,3 kg,27.65 mm,
Acer Predator Helios 300 PH305-55,,"15.60""",165 Hz,3840x2160,,,16:9,282 PPI,,i7-12700H,GeForce RTX 3070 Ti Laptop GPU,2.5 kg,25 mm,
Acer Predator Helios 300 PH315-52-796B,,"15.60""",120 Hz,1920x1080,,matte,16:9,141 PPI,,i7-9750H,GeForce GTX 1660 Ti Mobile,2.4 kg,23.15 mm,
Acer Predator Helios 300 PH315-52-79H8,,"15.60""",120 Hz,1920x1080,,matte,16:9,141 PPI,,i7-9750H,GeForce RTX 2060 Mobile,2.4 kg,23 mm,
Acer Predator Helios 300 PH315-53-527E,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-10300H,GeForce RTX 3060 Laptop GPU,2.3 kg,22.9 mm,
Acer Predator Helios 300 PH315-53-5507,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i5-10300H,GeForce GTX 1650 Ti Mobile,2.3 kg,23 mm,
Acer Predator Helios 300 PH315-53-700X,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 2060 Mobile,2.3 kg,22.9 mm,1500 Euro
Acer Predator Helios 300 PH315-53-70HR,,"15.60""",144 Hz,1920x1080,,,16:9,141 PPI,,i7-10750H,GeForce RTX 2070 Max-Q,2.2 kg,22.9 mm,
Acer Predator Helios 300 PH315-53-70M2,,"15.60""",120 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10750H,GeForce GTX 1660 Ti Mobile,2.3 kg,22.9 mm,1000 Euro
Acer Predator Helios 300 PH315-53-7144,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 3070 Laptop GPU,2.5 kg,22.9 mm,1300 Euro
Acer Predator Helios 300 PH315-53-71HN,,"15.60""",144 Hz,1920x1080,IPS,,16:9,141 PPI,,i7-10750H,GeForce RTX 3060 Laptop GPU,2.3 kg,22.9 mm,1200 Euro
Acer Predator Helios 300 PH315-53-71NT,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 2060 Mobile,2.5 kg,22.9 mm,
Acer Predator Helios 300 PH315-53-74SX,,"15.60""",144 Hz,1920x1080,,matte,16:9,,,i7-10750H,GeForce RTX 3060 Laptop GPU,2.3 kg,22.9 mm,1499 Euro
Acer Predator Helios 300 PH315-53-75ZS,,"15.60""",240 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 3080 Laptop GPU,2.3 kg,22.9 mm,2200 Euro
Acer Predator Helios 300 PH315-53-77M4,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 2070 Max-Q,2.5 kg,23 mm,
Acer Predator Helios 300 PH315-53-77N5,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,294 cd/m²,i7-10750H,GeForce RTX 2060 Mobile,2.5 kg,22.9 mm,1500 Euro
Acer Predator Helios 300 PH315-53-785U,,"15.60""",240 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 3070 Laptop GPU,2.3 kg,22.9 mm,
Acer Predator Helios 300 PH315-53-786B,,"15.60""",144 Hz,1920x1080,,matte,16:9,,,i7-10750H,GeForce RTX 3070 Laptop GPU,2.3 kg,22.9 mm,1799 Euro
Acer Predator Helios 300 PH315-53-786B,,"15.60""",240 Hz,1920x1080,IPS,matte,16:9,141 PPI,290 cd/m²,i7-10750H,GeForce RTX 3070 Laptop GPU,2.2 kg,22.9 mm,1799 Euro
Acer Predator Helios 300 PH315-53-786B,,"15.60""",240 Hz,1920x1080,,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 3070 Laptop GPU,,,
Acer Predator Helios 300 PH315-54 NH.QC5EP.00A,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-11400H,GeForce RTX 3050 Ti Laptop GPU,2.2 kg,22.9 mm,
Acer Predator Helios 300 PH315-54-582Q,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-11400H,GeForce RTX 3050 Ti Laptop GPU,2.9 kg,22.9 mm,
Acer Predator Helios 300 PH315-54-73HX,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-11800H,GeForce RTX 3070 Laptop GPU,2.3 kg,22.9 mm,1100 Euro
Acer Predator Helios 300 PH315-54-760S,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-11800H,GeForce RTX 3060 Laptop GPU,2.2 kg,22.9 mm,
Acer Predator Helios 300 PH315-54-94U7,,"15.60""",165 Hz,2560x1440,IPS,matte,16:9,188 PPI,,i9-11900H,GeForce RTX 3070 Laptop GPU,2.3 kg,22.9 mm,
Acer Predator Helios 300 PH315-54-NH.QC1EK.002,,"15.60""",144 Hz,1920x1080,IPS,,16:9,141 PPI,,i7-11800H,GeForce RTX 3070 Laptop GPU,2.3 kg,22.9 mm,
Acer Predator Helios 300 PH315-54-NH.QC1SN.003,,"15.60""",165 Hz,2560x1440,,,16:9,188 PPI,,i9-11900H,GeForce RTX 3070 Laptop GPU,2.2 kg,22.9 mm,
Acer Predator Helios 300 PH315-55-745L,,"15.60""",165 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-12700H,GeForce RTX 3060 Laptop GPU,2.6 kg,25.9 mm,1800 Euro
Acer Predator Helios 300 PH315-55-764C,,"15.60""",165 Hz,2560x1440,IPS,matte,16:9,188 PPI,,i7-12700H,GeForce RTX 3070 Ti Laptop GPU,2.6 kg,25.9 mm,
Acer Predator Helios 300 PH315-55-766X,,"15.60""",165 Hz,2560x1440,IPS,matte,16:9,188 PPI,,i7-12700H,GeForce RTX 3070 Ti Laptop GPU,2.4 kg,26 mm,
Acer Predator Helios 300 PH315-55-79FW,,"15.60""",165 Hz,2560x1440,IPS,matte,16:9,188 PPI,,i7-12700H,GeForce RTX 3070 Ti Laptop GPU,2.6 kg,25.9 mm,2500 Euro
Acer Predator Helios 300 PH315-55-902L,,"15.60""",165 Hz,2560x1440,IPS,matte,16:9,188 PPI,,i9-12900H,GeForce RTX 3070 Ti Laptop GPU,2.6 kg,25.9 mm,3000 Euro
Acer Predator Helios 300 PH315-55-98R7,,"15.60""",165 Hz,2560x1440,IPS,matte,16:9,188 PPI,,i9-12900H,GeForce RTX 3070 Ti Laptop GPU,2.6 kg,25.9 mm,
Acer Predator Helios 300 PH317-53-750A,,"17.30""",144 Hz,1920x1080,,,16:9,127 PPI,,i7-9750H,GeForce RTX 2070 Mobile,2.9 kg,24.7 mm,
Acer Predator Helios 300 PH317-54-71AE,,"17.30""",240 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i7-10750H,GeForce RTX 2060 Mobile,2.9 kg,24.7 mm,1700 Euro
Acer Predator Helios 300 PH317-54-728H,,"17.30""",144 Hz,1920x1080,,,16:9,127 PPI,,i7-10750H,GeForce RTX 2060 Mobile,2.9 kg,25 mm,
Acer Predator Helios 300 PH317-54-75G8,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,308 cd/m²,i7-10750H,GeForce RTX 2060 Mobile,2.8 kg,25 mm,1540 Euro
Acer Predator Helios 300 PH317-54-75G8,,"17.30""",144 Hz,1920x1080,,matte,16:9,,,i7-10750H,GeForce RTX 2060 Mobile,,,
Acer Predator Helios 300 PH317-54-77RQ,,"17.30""",240 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i7-10750H,GeForce RTX 2070 Mobile,2.9 kg,24.7 mm,2100 Euro
Acer Predator Helios 300 PH317-55-70YF,,"17.30""",165 Hz,2160x1440,IPS,matte,16:9,150 PPI,,i7-11800H,GeForce RTX 3070 Laptop GPU,3 kg,26.7 mm,
Acer Predator Helios 300 PH317-56-718D,,"17.30""",165 Hz,2560x1440,IPS,matte,16:9,170 PPI,,i7-12700H,GeForce RTX 3070 Ti Laptop GPU,3 kg,26.9 mm,2600 Euro
Acer Predator Helios 300 PH317-56-72QY,,"17.30""",165 Hz,2560x1440,IPS,matte,16:9,170 PPI,,i7-12700H,GeForce RTX 3070 Ti Laptop GPU,3 kg,26.9 mm,
Acer Predator Helios 300 PH317-56-94RD,,"17.30""",165 Hz,2560x1440,IPS,matte,16:9,170 PPI,,i9-12900H,GeForce RTX 3080 Laptop GPU,3 kg,26.9 mm,3000 Euro
Acer Predator Helios 500 PH517-52-78TY,,"17.30""",360 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i7-11800H,GeForce RTX 3080 Laptop GPU,4 kg,35.3 mm,
"Acer Predator Helios 500, i9-11980HK RTX 3080",,"17.30""",360 Hz,1920x1080,IPS,,16:9,127 PPI,,i9-11980HK,GeForce RTX 3080 Laptop GPU,3.9 kg,35.3 mm,
Acer Predator Helios 700 PH717-71-914K,,"17.30""",144 Hz,1920x1080,,matte,16:9,127 PPI,,i9-9980HK,GeForce RTX 2070 Mobile,4.5 kg,41.7 mm,3000 Euro
Acer Predator Helios 700 PH717-71-95MA,,"17.30""",144 Hz,1920x1080,,matte,16:9,127 PPI,,i9-9980HK,GeForce RTX 2070 Mobile,4.9 kg,52 mm,
Acer Predator Helios 700 PH717-72-93RL,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i9-10980HK,GeForce RTX 2080 Super Mobile,4.5 kg,41.7 mm,3000 Euro
Acer Predator Helios 700 PH717-72-98YP,,"17.30""",144 Hz,1920x1080,,matte,16:9,127 PPI,,i9-10980HK,GeForce RTX 2080 Super Mobile,4.5 kg,41.7 mm,
Acer Predator Helios Neo 14 (2024),,"14.50""",165 Hz,3072x1920,IPS,matte,16:10,250 PPI,433 cd/m²,Ultra 9 185H,NVIDIA GeForce RTX 4070 Laptop GPU,1.9 kg,20.9 mm,2100 Euro
Acer Predator Helios Neo 14 (2024),,"14.50""",165 Hz,3072x1920,,matte,16:10,250 PPI,,Ultra 9 185H,NVIDIA GeForce RTX 4070 Laptop GPU,,,
Acer Predator Helios Neo 14 (2024),,"14.50""",165 Hz,3072x1920,,matte,16:10,250 PPI,,Ultra 9 185H,NVIDIA GeForce RTX 4070 Laptop GPU,,,
Acer Predator Helios Neo 14 (2024),,"14.50""",165 Hz,3072x1920,,matte,16:10,250 PPI,,Ultra 9 185H,NVIDIA GeForce RTX 4070 Laptop GPU,,,
Acer Predator Helios Neo 16 (2024),,"16.00""",240 Hz,2560x1600,LED,matte,16:10,189 PPI,506 cd/m²,i7-14700HX,NVIDIA GeForce RTX 4070 Laptop GPU,2.6 kg,25.95 mm,1999 Euro
Acer Predator Helios Neo 16 (2024),,"16.00""",240 Hz,2560x1600,,matte,16:10,189 PPI,,i7-14700HX,NVIDIA GeForce RTX 4070 Laptop GPU,,,
Acer Predator Helios Neo 16 (2024),,"16.00""",240 Hz,2560x1600,,matte,16:10,189 PPI,,i7-14700HX,UHD Graphics 770,,,
Acer Predator Helios Neo 16 NH.QLTEG.002,,"16.00""",165 Hz,1920x1200,IPS,matte,16:10,142 PPI,373 cd/m²,i5-13500HX,NVIDIA GeForce RTX 4050 Laptop GPU,2.6 kg,28.25 mm,1599 Euro
Acer Predator Helios Neo 16 PHN16-71,,"16.00""",165 Hz,2560x1600,,matte,16:10,189 PPI,,i5-13500HX,NVIDIA GeForce RTX 4050 Laptop GPU,2.6 kg,28.25 mm,
"Acer Predator Helios Neo 16 PHN16-71, i5-13500HX RTX 4060",,"16.00""",165 Hz,1920x1200,IPS,matte,16:10,142 PPI,,i5-13500HX,NVIDIA GeForce RTX 4060 Laptop GPU,2.6 kg,28.25 mm,
"Acer Predator Helios Neo 16 PHN16-71, i5-13700HX RTX 4070",,"16.00""",165 Hz,2560x1600,IPS,glossy,16:10,189 PPI,,i7-13700HX,NVIDIA GeForce RTX 4070 Laptop GPU,2.6 kg,28.25 mm,1900 Euro
Acer Predator Helios Neo 16 PHN16-71-702Z,,"16.00""",165 Hz,1920x1080,IPS,matte,16:9,138 PPI,,i7-13700HX,NVIDIA GeForce RTX 4060 Laptop GPU,2.6 kg,28.25 mm,2000 Euro
"Acer Predator Helios Neo 16 PHN16-72, i7-14650HX RTX 4060",,"16.00""",165 Hz,2560x1600,IPS,matte,16:10,189 PPI,,i7-14650HX,NVIDIA GeForce RTX 4060 Laptop GPU,2.5 kg,27.9 mm,1400 Euro
"Acer Predator Helios Neo 16 PHN16-72, i9-14900HX",,"18.00""",240 Hz,2560x1600,IPS,matte,16:10,168 PPI,,i9-14900HX,NVIDIA GeForce RTX 4070,3.4 kg,29.15 mm,
"Acer Predator Helios Neo 16 PHN16-72, RTX 4060",,"16.00""",165 Hz,2560x1600,IPS,matte,16:10,189 PPI,,i9-14900HX,NVIDIA GeForce RTX 4060 Laptop GPU,2.5 kg,27.9 mm,
Acer Predator Helios Neo 18 PHN18-71,,"18.00""",240 Hz,2560x1600,IPS,,16:10,,,i9-14900HX,NVIDIA GeForce RTX 4070 Laptop GPU,3.4 kg,29.15 mm,
"Acer Predator Helios Neo 18 PHN18-71, i7-14650HX RTX 4060",,"18.00""",165 Hz,1920x1200,IPS,matte,16:10,126 PPI,,i7-14650HX,NVIDIA GeForce RTX 4060 Laptop GPU,3.4 kg,29.2 mm,1700 Euro
Acer Predator Triton 14 PT14-51,,"14.00""",165 Hz,2560x1600,IPS,matte,16:10,216 PPI,516 cd/m²,i7-13700H,NVIDIA GeForce RTX 4050 Laptop GPU,1.7 kg,19.81 mm,
"Acer Predator Triton 14 PT14-51, i7-13700H RTX 4070",,"14.00""",250 Hz,2560x1600,IPS,matte,16:10,216 PPI,,i7-13700H,NVIDIA GeForce RTX 4070 Laptop GPU,1.7 kg,19.9 mm,
"Acer Predator Triton 14 PT14-51, i7-13700H RTX 4080",,"14.00""",250 Hz,2560x1600,IPS,matte,16:10,216 PPI,,i7-13700H,NVIDIA GeForce RTX 4080 Laptop GPU,1.7 kg,19.9 mm,
Acer Predator Triton 300 PT315-52,,"15.60""",144 Hz,1920x1080,,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 2070 Max-Q,2.3 kg,259.14 mm,
"Acer Predator Triton 300 PT315-52, i5-10300H GTX 1650 Ti",,"15.60""",120 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-10300H,GeForce GTX 1650 Ti Mobile,2.3 kg,19.9 mm,1300 Euro
Acer Predator Triton 300 PT315-52-51U8,,"15.60""",120 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-10300H,GeForce GTX 1660 Ti Mobile,2.3 kg,19.9 mm,1350 Euro
Acer Predator Triton 300 PT315-52-73S0,,"15.60""",120 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 2070 Mobile,2 kg,19.9 mm,1550 Euro
Acer Predator Triton 300 PT315-52-79LP,,"15.60""",120 Hz,1920x1080,IPS,matte,16:9,141 PPI,257 cd/m²,i7-10750H,GeForce RTX 2060 Mobile,2.1 kg,19.9 mm,1400 Euro
Acer Predator Triton 300 PT315-53-54XN,,"15.60""",144 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i5-11400H,GeForce RTX 3050 Ti Laptop GPU,2.1 kg,19.9 mm,
Acer Predator Triton 300 PT315-53-717C,,"15.60""",165 Hz,2560x1440,IPS,matte,16:9,188 PPI,,i7-11800H,GeForce RTX 3060 Laptop GPU,2.1 kg,19.9 mm,2000 Euro
Acer Predator Triton 300 PT315-53-76B9,,"15.60""",165 Hz,2560x1440,IPS,matte,16:9,188 PPI,,i7-11800H,GeForce RTX 3080 Laptop GPU,2.1 kg,19.9 mm,
Acer Predator Triton 300 SE,,"14.00""",090 Hz,2880x1800,OLED,,16:10,243 PPI,416 cd/m²,i9-12900H,GeForce RTX 3060 Laptop GPU,1.7 kg,19.8 mm,1950 USD
Acer Predator Triton 300 SE PT314-51S-75JM,,"14.00""",144 Hz,1920x1080,,matte,16:9,157 PPI,,i7-11375H,GeForce RTX 3060 Laptop GPU,1.8 kg,17.9 mm,
Acer Predator Triton 300 SE PT314-52s-76F0,,"14.00""",165 Hz,2560x1600,,,16:10,216 PPI,,i7-12700H,GeForce RTX 3060 Laptop GPU,1.7 kg,19.9 mm,1300 Euro
Acer Predator Triton 300 SE PT316-51s-74RM,,"16.00""",240 Hz,2560x1600,IPS,,16:10,189 PPI,,i7-12700H,GeForce RTX 3070 Ti Laptop GPU,2.4 kg,21.8 mm,2100 Euro
Acer Predator Triton 300SE PT314-51s-57YJ,,"14.00""",144 Hz,1920x1080,IPS,matte,16:9,157 PPI,,i5-11300H,GeForce RTX 3060 Laptop GPU,1.7 kg,17.9 mm,1500 Euro
Acer Predator Triton 300SE PT314-51s-70CS,,"14.00""",144 Hz,1920x1080,,matte,16:9,157 PPI,,i7-11370H,GeForce RTX 3060 Laptop GPU,1.7 kg,17.9 mm,
Acer Predator Triton 300SE PT314-51s-71UU,,"14.00""",144 Hz,1920x1080,IPS,matte,16:9,157 PPI,,i7-11375H,GeForce RTX 3060 Laptop GPU,1.7 kg,17.9 mm,
Acer Predator Triton 500 PT515-51-72QK,,"15.60""",144 Hz,1920x1080,,,16:9,141 PPI,,i7-9750H,GeForce RTX 2070 Max-Q,2 kg,17.9 mm,
Acer Predator Triton 500 PT515-52,,"15.60""",300 Hz,1920x1080,IPS,,16:9,141 PPI,,i7-10875H,GeForce RTX 2070 Super Max-Q,2.1 kg,17.9 mm,
Acer Predator Triton 500 PT515-52-70N3,,"15.60""",300 Hz,1920x1080,IPS,matte,16:9,141 PPI,318 cd/m²,i7-10750H,GeForce RTX 2080 Super Max-Q,2.1 kg,18 mm,2500 EUR
Acer Predator Triton 500 PT515-52-73L3,,"15.60""",300 Hz,1920x1080,IPS,matte,16:9,141 PPI,,i7-10750H,GeForce RTX 2070 Super Mobile,2.2 kg,17.9 mm,
Acer Predator Triton 500 PT516-51s-72JQ,,"16.10""",165 Hz,2560x1600,IPS,matte,16:10,188 PPI,,i7-11800H,GeForce RTX 3080 Laptop GPU,2.5 kg,19.9 mm,
Acer Predator Triton 500 PT516-51s-72LN,,"16.10""",1650 Hz,2560x1600,IPS,matte,16:10,188 PPI,,i7-11800H,GeForce RTX 3080 Laptop GPU,2.5 kg,19.9 mm,2600 Euro
Acer Predator Triton 500 PT516-51s-75VF,,"16.10""",165 Hz,2560x1600,IPS,matte,16:10,188 PPI,,i7-11800H,GeForce RTX 3060 Laptop GPU,2.5 kg,19.9 mm,
Acer Predator Triton 500 PT516-51s-9914,,"16.10""",165 Hz,2560x1600,IPS,matte,16:9,188 PPI,,i9-11900H,GeForce RTX 3080 Laptop GPU,2.5 kg,19.9 mm,
Acer Predator Triton 500 SE PT516-51s-70TP,,"16.00""",165 Hz,2560x1600,IPS,,16:10,189 PPI,,i7-11800H,GeForce RTX 3060 Laptop GPU,2.5 kg,19.81 mm,1600 Euro
Acer Predator Triton 500 SE PT516-51s-75WM,,"16.00""",165 Hz,2560x1600,IPS,,16:10,189 PPI,,i7-11800H,GeForce RTX 3070 Laptop GPU,2.5 kg,19.81 mm,1900 Euro
